,,,,,,,,,,,,,,,,,,,,,
CATEGORY,CATEGORY OF SHAREHOLDER,NOS. OF SHAREHOLDERS,NO. OF FULLY PAID UP EQUITY SHARES HELD,NO. OF PARTLY PAID UP EQUITY SHARES HELD,NO. OF SHARES UNDERLYING DEPOSITORY RECIEPTS,TOTAL NOS. SHARES HELD,"SHAREHOLDING AS A % OF TOTAL NO. OF SHARES (CALCULATED AS PER SCRR, 1957) AS A % OF (A+B+C2)",NUMBER OF VOTING RIGHTS HELD IN EACH CLASS OF SECURITIES,,,,NO. OF SHARES UNDERLYING OUTSTANDING CONVERTIBLE SECURITIES (INCLUDING WARRANTS),"SHAREHOLDING , AS A % ASSUMING FULL CONVERSION OF CONVERTIBLE SECURITIES ( AS A PERCENTAGE OF DILUTED SHARE CAPITAL) AS A % OF (A+B+C2)",NUMBER OF LOCKED IN SHARES,,NUMBER OF SHARES PLEDGED OR OTHERWISE ENCUMBERED,,NUMBER OF EQUITY SHARES HELD IN DEMATERIALIZED FORM,SUB-CATEGORIZATION OF SHARES,,
(I),(II),(III),(IV),(V),(VI),(VII) = (IV)+(V)+ (VI),(VIII),(IX),,,,(X),(XI) = (VII)+(X),(XII),,(XIII),,(XIV),(XV),,
,,,,,,,,NO OF VOTING RIGHTS,,,TOTAL AS A % OF (A+B+C),,,NO,AS A % OF TOTAL SHARES HELD,NO,AS A % OF TOTAL SHARES HELD,,SHAREHOLDING (NO. OF SHARES) UNDER,,
,,,,,,,,CLASS X,CLASS Y,TOTAL,,,,(A),(B),(A),(B),,SUBCATEGORY (I),SUBCATEGORY (II),SUBCATEGORY (III)
1,Institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Mutual Funds/,23,"13,65,70,802",-,-,"13,65,70,802",15.2,"13,65,70,802",-,"13,65,70,802",15.2,-,15.2,-,-,-,-,"13,65,70,802",-,-,-
,MIRAE ASSET TAX SAVER FUND,1,"6,33,08,628",-,-,"6,33,08,628",7.04,"6,33,08,628",-,"6,33,08,628",7.04,-,7.04,-,-,-,-,"6,33,08,628",-,-,-
,PARAG PARIKH FLEXI CAP FUND,1,"4,50,84,795",-,-,"4,50,84,795",5.02,"4,50,84,795",-,"4,50,84,795",5.02,-,5.02,-,-,-,-,"4,50,84,795",-,-,-
b,Venture Capital Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
c,Alternate Investment Funds,17,"85,52,222",-,-,"85,52,222",0.95,"85,52,222",-,"85,52,222",0.95,-,0.95,-,-,-,-,"85,52,222",-,-,-
d,Foreign Venture Capital Investors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Foreign Portfolio Investors,247,"18,66,86,127",-,-,"18,66,86,127",20.77,"18,66,86,127",-,"18,66,86,127",20.77,-,20.77,-,-,-,-,"18,66,86,127",-,-,-
,"SMALLCAP WORLD FUND, INC",1,"1,17,13,265",-,-,"1,17,13,265",1.3,"1,17,13,265",-,"1,17,13,265",1.3,-,1.3,-,-,-,-,"1,17,13,265",-,-,-
,WF ASIAN RECONNAISSANCE FUND LIMITED,1,"2,31,53,402",-,-,"2,31,53,402",2.58,"2,31,53,402",-,"2,31,53,402",2.58,-,2.58,-,-,-,-,"2,31,53,402",-,-,-
,AQUAMARINE MASTER FUND L.P,1,"1,32,00,000",-,-,"1,32,00,000",1.47,"1,32,00,000",-,"1,32,00,000",1.47,-,1.47,-,-,-,-,"1,32,00,000",-,-,-
f,Financial Institutions/ Banks,3,"29,99,120",-,-,"29,99,120",0.33,"29,99,120",-,"29,99,120",0.33,-,0.33,-,-,-,-,"29,99,120",-,-,-
g,Insurance Companies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
h,Provident Funds/ Pension Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
i,Any Other (specify),9,"4,64,42,102",-,-,"4,64,42,102",5.17,"4,64,42,102",-,"4,64,42,102",5.17,-,5.17,-,-,-,-,"4,64,42,102",-,-,-
,Other,9,"4,64,42,102",-,-,"4,64,42,102",5.17,"4,64,42,102",-,"4,64,42,102",5.17,-,5.17,-,-,-,-,"4,64,42,102",-,-,-
,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,1,"1,61,27,627",-,-,"1,61,27,627",1.79,"1,61,27,627",-,"1,61,27,627",1.79,-,1.79,-,-,-,-,"1,61,27,627",-,-,-
,LIFE INSURANCE CORPORATION OF INDIA,1,"2,29,15,284",-,-,"2,29,15,284",2.55,"2,29,15,284",-,"2,29,15,284",2.55,-,2.55,-,-,-,-,"2,29,15,284",-,-,-
,Sub-Total (B)(1),299,"38,12,50,373",-,-,"38,12,50,373",42.42,"38,12,50,373",-,"38,12,50,373",42.42,-,42.42,-,-,-,-,"38,12,50,373",-,-,-
2,Central Government/ State Government(s)/ President of India,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sub-Total (B)(2),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Non-institutions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
a,Individuals -,"16,28,832","32,98,53,575",-,-,"32,98,53,575",36.7,"32,98,53,575",-,"32,98,53,575",36.7,-,36.7,-,-,-,-,"32,92,45,119",-,-,-
i,Individual shareholders holding nominal share capital up to Rs. 2 lakhs.,"16,28,810","32,04,69,439",-,-,"32,04,69,439",35.66,"32,04,69,439",-,"32,04,69,439",35.66,-,35.66,-,-,-,-,"32,03,10,983",-,-,-
ii,Individual shareholders holding nominal share capital in excess of Rs. 2 lakhs.,22,"93,84,136",-,-,"93,84,136",1.04,"93,84,136",-,"93,84,136",1.04,-,1.04,-,-,-,-,"89,34,136",-,-,-
b,NBFCs registered with RBI,5,"89,750",-,-,"89,750",0.01,"89,750",-,"89,750",0.01,-,0.01,-,-,-,-,"89,750",-,-,-
c,Employee Trusts,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
d,Overseas Depositories (holding DRs) (balancing figure),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
e,Any Other (specify),"15,597","18,48,90,525",-,-,"18,48,90,525",20.57,"18,48,90,525",-,"18,48,90,525",20.57,-,20.57,-,-,-,-,"18,48,90,525",-,-,-
,Bodies Corporate,"2,295","16,03,86,530",-,-,"16,03,86,530",17.85,"16,03,86,530",-,"16,03,86,530",17.85,-,17.85,-,-,-,-,"16,03,86,530",-,-,-
,DALMIA CEMENT (BHARAT) LIMITED,1,"3,71,99,532",-,-,"3,71,99,532",4.14,"3,71,99,532",-,"3,71,99,532",4.14,-,4.14,-,-,-,-,"3,71,99,532",-,-,-
,DALMIA POWER LIMITED,1,"3,33,10,083",-,-,"3,33,10,083",3.71,"3,33,10,083",-,"3,33,10,083",3.71,-,3.71,-,-,-,-,"3,33,10,083",-,-,-
,DPVL VENTURES LLP,1,"6,25,87,206",-,-,"6,25,87,206",6.96,"6,25,87,206",-,"6,25,87,206",6.96,-,6.96,-,-,-,-,"6,25,87,206",-,-,-
,Clearing Members,193,"82,88,372",-,-,"82,88,372",0.92,"82,88,372",-,"82,88,372",0.92,-,0.92,-,-,-,-,"82,88,372",-,-,-
,Foreign Nationals,2,371,-,-,371,-,371,-,371,-,-,-,-,-,-,-,371,-,-,-
,Non-Resident Indian (NRI),"13,076","1,16,77,358",-,-,"1,16,77,358",1.3,"1,16,77,358",-,"1,16,77,358",1.3,-,1.3,-,-,-,-,"1,16,77,358",-,-,-
,Others,1,"41,97,859",-,-,"41,97,859",0.47,"41,97,859",-,"41,97,859",0.47,-,0.47,-,-,-,-,"41,97,859",-,-,-
,Trusts,30,"3,40,035",-,-,"3,40,035",0.04,"3,40,035",-,"3,40,035",0.04,-,0.04,-,-,-,-,"3,40,035",-,-,-
,Sub-Total (B)(3),"16,44,434","51,48,33,850",-,-,"51,48,33,850",57.29,"51,48,33,850",-,"51,48,33,850",57.29,-,57.29,-,-,-,-,"51,42,25,394",-,-,-
,Total Public Shareholding (B)= (B)(1)+(B)(2)+(B)(3),"16,44,733","89,60,84,223",-,-,"89,60,84,223",99.71,"89,60,84,223",-,"89,60,84,223",99.71,-,99.71,-,-,-,-,"89,54,75,767",-,-,-
